"gene_id","accession"
"11735","NP_733924"
"11735","NP_733925"
"11735","NP_733926"
"11736","NM_009671"
"11736","NP_033801"
"11737","NM_009672"
"11737","NP_033802"
"11739","NM_007450"
"11739","NP_031476"
"11740","NM_007451"
"11740","NP_031477"
"11744","NM_013469"
"11744","NP_038497"
"11745","NM_013470"
"11745","NP_038498"
"11746","NM_013471"
"11746","NP_038499"
"11747","NM_009673"
"11747","NP_033803"
"11749","NM_001110211"
"11749","NM_013472"
"11749","NP_001103681"
"11749","NP_038500"
"11750","NM_001110794"
"11750","NM_009674"
"11750","NP_001104264"
"11750","NP_033804"
"11752","NM_013473"
"11752","NP_038501"
"11754","NM_009675"
"11754","NP_033805"
"11757","NM_007452"
"11757","NP_031478"
"11758","NM_007453"
"11758","NP_031479"
"11761","NM_009676"
"11761","NP_033806"
"11764","NM_001243043"
"11764","NM_001243044"
"11764","NM_007454"
"11764","NP_001229972"
"11764","NP_001229973"
"11764","NP_031480"
"11765","NM_009677"
"11765","NP_033807"
"11766","NM_007455"
"11766","NP_031481"
"11767","NM_007456"
"11767","NP_031482"
"11768","NM_001110300"
"11768","NM_009678"
"11768","NP_001103770"
"11768","NP_033808"
"11769","NM_007457"
"11769","NP_031483"
"11770","NM_024406"
"11770","NP_077717"
"11771","NM_001077264"
"11771","NM_007458"
"11771","NP_001070732"
"11771","NP_031484"
"11772","NM_007459"
"11772","NP_031485"
"11773","NM_009679"
"11773","NP_033809"
"11774","NM_009680"
"11774","NP_033810"
"11775","NM_021492"
"11775","NM_146192"
"11775","NP_067467"
"11776","NM_007460"
"11776","NP_031486"
"11777","NM_009681"
"11777","NP_033811"
"11778","NM_009682"
"11778","NP_033812"
"11781","NM_021392"
"11781","NP_067367"
"11782","NM_021710"
"11782","NP_068356"
"11783","NM_001042558"
"11783","NM_009684"
"11783","NP_001036023"
"11783","NP_033814"
"11784","NM_007461"
"11784","NP_031487"
"11785","NM_001253885"
"11785","NM_001253886"
"11785","NM_001253887"
"11785","NM_009685"
"11785","NP_001240814"
"11785","NP_001240815"
"11785","NP_001240816"
"11785","NP_033815"
"11787","NM_001201413"
"11787","NM_001201414"
"11787","NM_001201415"
"11787","NM_001201416"
"11787","NM_009686"
"11787","NP_001188342"
"11787","NP_001188343"
"11787","NP_001188344"
"11787","NP_001188345"
"11787","NP_033816"
"11789","NM_007462"
"11789","NP_031488"
"11790","NM_001085370"
"11790","NM_001085371"
"11790","NM_001173477"
"11790","NM_007463"
"11790","NP_001078839"
"11790","NP_001078840"
"11790","NP_001166948"
"11790","NP_031489"
"11792","NM_009687"
"11792","NP_033817"
"11793","NM_053069"
"11793","NP_444299"
"11796","NM_007464"
"11796","NP_031490"
"11797","NM_007465"
"11797","NP_031491"
"11798","NM_009688"
"11798","NP_033818"
"11799","NM_001012272"
"11799","NM_001012273"
"11799","NM_009689"
"11799","NP_001012273"
"11799","NP_033819"
"11800","NM_007466"
"11800","NP_031492"
"11801","NM_009690"
"11801","NP_033820"
"11803","NM_007467"
"11803","NP_031493"
"11804","NM_001102455"
"11804","NM_001102456"
"11804","NM_009691"
"11804","NP_001095925"
"11804","NP_001095926"
"11804","NP_033821"
"11806","NM_009692"
"11806","NP_033822"
"11807","NM_013474"
"11807","NP_038502"
"11808","NM_007468"
"11808","NP_031494"
"11810","NM_001134391"
"11810","NM_031159"
"11810","NP_001127863"
"11810","NP_112436"
"11811","NM_009694"
"11811","NP_033824"
"11812","NM_001110009"
"11812","NM_007469"
"11812","NP_001103479"
"11812","NP_031495"
"11813","NM_009695"
"11813","NP_033825"
"11814","NM_023114"
"11814","NP_075603"
"11815","NM_007470"
"11815","NP_031496"
"11815","XM_003689301"
"11815","XP_003689349"
"11816","NM_009696"
"11816","NP_033826"
"11818","NM_013475"
"11818","NP_038503"
"11819","NM_009697"
"11819","NM_183261"
"11819","NP_033827"
"11819","NP_899084"
"11820","NM_001198823"
"11820","NM_001198824"
"11820","NM_001198825"
"11820","NM_001198826"
