"gene_id","accession"
"24246","ENSRNOG00000011589"
"24247","ENSRNOG00000002265"
"24248","ENSRNOG00000008364"
"24249","ENSRNOG00000004222"
"24250","ENSRNOG00000029528"
"24251","ENSRNOG00000017874"
"24252","ENSRNOG00000010918"
"24253","ENSRNOG00000025114"
"24254","ENSRNOG00000010406"
"24255","ENSRNOG00000008284"
"24256","ENSRNOG00000017721"
"24257","ENSRNOG00000034055"
"24258","ENSRNOG00000007912"
"24259","ENSRNOG00000021269"
"24260","ENSRNOG00000014639"
"24261","ENSRNOG00000014698"
"24264","ENSRNOG00000010872"
"24265","ENSRNOG00000016837"
"24267","ENSRNOG00000001889"
"24268","ENSRNOG00000011913"
"24269","ENSRNOG00000010725"
"24271","ENSRNOG00000030904"
"24277","ENSRNOG00000014950"
"24278","ENSRNOG00000032219"
"24279","ENSRNOG00000014790"
"24282","ENSRNOG00000016792"
"24283","ENSRNOG00000017185"
"24284","ENSRNOG00000039304"
"24291","ENSRNOG00000019068"
"24294","ENSRNOG00000030111"
"24296","ENSRNOG00000019500"
"24298","ENSRNOG00000000428"
"24299","ENSRNOG00000028900"
"24300","ENSRNOG00000033680"
"24303","ENSRNOG00000029179"
"24306","ENSRNOG00000030154"
"24307","ENSRNOG00000009741"
"24309","ENSRNOG00000021027"
"24310","ENSRNOG00000007467"
"24311","ENSRNOG00000004327"
"24312","ENSRNOG00000013521"
"24314","ENSRNOG00000012772"
"24315","ENSRNOG00000017048"
"24316","ENSRNOG00000023688"
"24318","ENSRNOG00000008428"
"24323","ENSRNOG00000014361"
"24324","ENSRNOG00000009390"
"24326","ENSRNOG00000012721"
"24329","ENSRNOG00000004332"
"24330","ENSRNOG00000019422"
"24331","ENSRNOG00000004725"
"24332","ENSRNOG00000013628"
"24333","ENSRNOG00000017895"
"24334","ENSRNOG00000013141"
"24335","ENSRNOG00000001412"
"24336","ENSRNOG00000012619"
"24337","ENSRNOG00000006450"
"24338","ENSRNOG00000007865"
"24356","ENSRNOG00000008941"
"24360","ENSRNOG00000006675"
"24361","ENSRNOG00000016889"
"24362","ENSRNOG00000017597"
"24366","ENSRNOG00000007092"
"24367","ENSRNOG00000025074"
"24368","ENSRNOG00000003653"
"24373","ENSRNOG00000011631"
"24375","ENSRNOG00000009325"
"24377","ENSRNOG00000037254"
"24379","ENSRNOG00000000007"
"24380","ENSRNOG00000018200"
"24382","ENSRNOG00000024563"
"24383","ENSRNOG00000018630"
"24384","ENSRNOG00000003119"
"24385","ENSRNOG00000014447"
"24387","ENSRNOG00000002919"
"24388","ENSRNOG00000002042"
"24390","ENSRNOG00000007966"
"24391","ENSRNOG00000011207"
"24392","ENSRNOG00000000805"
"24397","ENSRNOG00000003313"
"24398","ENSRNOG00000013595"
"24399","ENSRNOG00000010222"
"24400","ENSRNOG00000016638"
"24401","ENSRNOG00000016356"
"24406","ENSRNOG00000030910"
"24407","ENSRNOG00000020310"
"24408","ENSRNOG00000011726"
"24409","ENSRNOG00000033942"
"24410","ENSRNOG00000008766"
"24411","ENSRNOG00000003280"
"24412","ENSRNOG00000021063"
"24413","ENSRNOG00000014096"
"24414","ENSRNOG00000014290"
"24415","ENSRNOG00000013171"
"24416","ENSRNOG00000005519"
"24418","ENSRNOG00000016429"
"24419","ENSRNOG00000000233"
"24420","ENSRNOG00000002335"
"24421","ENSRNOG00000013484"
"24422","ENSRNOG00000000201"
"24423","ENSRNOG00000029726"
"24424","ENSRNOG00000019094"
"24426","ENSRNOG00000018237"
"24434","ENSRNOG00000000913"
"24437","ENSRNOG00000042022"
"24438","ENSRNOG00000022451"
"24439","ENSRNOG00000014743"
"24440","ENSRNOG00000033465"
"24443","ENSRNOG00000010262"
"24446","ENSRNOG00000007027"
"24448","ENSRNOG00000007420"
"24450","ENSRNOG00000019120"
"24451","ENSRNOG00000014117"
"24452","ENSRNOG00000005968"
"24457","ENSRNOG00000007585"
"24459","ENSRNOG00000016613"
"24460","ENSRNOG00000028619"
"24464","ENSRNOG00000014964"
"24465","ENSRNOG00000031367"
"24468","ENSRNOG00000042071"
"24470","ENSRNOG00000019417"
"24471","ENSRNOG00000023546"
"24472","ENSRNOG00000033526"
"24473","ENSRNOG00000010254"
"24476","ENSRNOG00000012417"
"24477","ENSRNOG00000002158"
"24479","ENSRNOG00000015020"
"24481","ENSRNOG00000006268"
"24482","ENSRNOG00000004517"
"24483","ENSRNOG00000020369"
"24484","ENSRNOG00000008645"
"24493","ENSRNOG00000004575"
"24494","ENSRNOG00000004649"
"24495","ENSRNOG00000026786"
"24497","ENSRNOG00000008111"
"24498","ENSRNOG00000010278"
"24499","ENSRNOG00000020811"
"24500","ENSRNOG00000020630"
"24503","ENSRNOG00000020248"
"24504","ENSRNOG00000020097"
"24505","ENSRNOG00000012052"
"24506","ENSRNOG00000020405"
"24508","ENSRNOG00000008144"
"24511","ENSRNOG00000010966"
"24513","ENSRNOG00000009421"
"24514","ENSRNOG00000015547"
"24516","ENSRNOG00000026293"
"24517","ENSRNOG00000042838"
"24520","ENSRNOG00000019750"
"24521","ENSRNOG00000008779"
"24522","ENSRNOG00000003634"
"24523","ENSRNOG00000029924"
"24525","ENSRNOG00000009338"
"24528","ENSRNOG00000010811"
"24530","ENSRNOG00000019573"
"24533","ENSRNOG00000013009"
"24534","ENSRNOG00000013000"
"24538","ENSRNOG00000015747"
"24539","ENSRNOG00000012181"
"24546","ENSRNOG00000009005"
"24547","ENSRNOG00000016516"
"24548","ENSRNOG00000011706"
"24551","ENSRNOG00000008103"
"24552","ENSRNOG00000009715"
"24553","ENSRNOG00000007079"
"24558","ENSRNOG00000000775"
"24560","ENSRNOG00000002141"
"24561","ENSRNOG00000020571"
"24564","ENSRNOG00000003171"
"24565","ENSRNOG00000032748"
"24566","ENSRNOG00000019680"
"24567","ENSRNOG00000025764"
"24567","ENSRNOG00000038047"
"24571","ENSRNOG00000020539"
"24575","ENSRNOG00000001959"
"24577","ENSRNOG00000004500"
"24581","ENSRNOG00000003085"
"24582","ENSRNOG00000000029"
"24583","ENSRNOG00000002987"
"24584","ENSRNOG00000017645"
"24585","ENSRNOG00000020955"
"24586","ENSRNOG00000031890"
"24587","ENSRNOG00000008716"
"24588","ENSRNOG00000013916"
"24590","ENSRNOG00000009514"
"24592","ENSRNOG00000013780"
"24594","ENSRNOG00000029221"
"24596","ENSRNOG00000005392"
"24598","ENSRNOG00000001130"
"24599","ENSRNOG00000011023"
"24600","ENSRNOG00000009348"
"24602","ENSRNOG00000008176"
"24603","ENSRNOG00000014684"
"24604","ENSRNOG00000009768"
"24605","ENSRNOG00000023079"
"24609","ENSRNOG00000005424"
"24610","ENSRNOG00000006578"
"24611","ENSRNOG00000010440"
"24613","ENSRNOG00000010531"
"24614","ENSRNOG00000007886"
"24615","ENSRNOG00000011821"
"24616","ENSRNOG00000004302"
"24617","ENSRNOG00000001414"
"24618","ENSRNOG00000006151"
"24620","ENSRNOG00000006579"
"24624","ENSRNOG00000015869"
"24626","ENSRNOG00000005905"
"24628","ENSRNOG00000017197"
"24629","ENSRNOG00000018461"
"24638","ENSRNOG00000000165"
"24640","ENSRNOG00000004162"
"24641","ENSRNOG00000009602"
"24644","ENSRNOG00000002467"
"24645","ENSRNOG00000009889"
"24646","ENSRNOG00000022719"
"24648","ENSRNOG00000032669"
"24649","ENSRNOG00000000529"
"24650","ENSRNOG00000010771"
"24651","ENSRNOG00000020420"
"24653","ENSRNOG00000002657"
"24654","ENSRNOG00000004810"
"24655","ENSRNOG00000032238"
"24656","ENSRNOG00000016436"
"24657","ENSRNOG00000017089"
"24659","ENSRNOG00000004632"
