"gene_id","accession"
"24408","NM_001270603"
"24408","NM_001270605"
"24408","NM_001270606"
"24408","NM_001270607"
"24408","NM_001270608"
"24408","NM_001270610"
"24408","NM_017010"
"24408","NP_001257531"
"24408","NP_001257532"
"24408","NP_001257534"
"24408","NP_001257535"
"24408","NP_001257536"
"24408","NP_001257537"
"24408","NP_001257539"
"24408","NP_058706"
"24409","NM_012573"
"24409","NP_036705"
"24410","NM_012574"
"24410","NP_036706"
"24411","NM_012575"
"24411","NP_036707"
"24412","NM_022797"
"24412","NP_073634"
"24413","NM_012576"
"24413","NP_036708"
"24414","NM_001114330"
"24414","NM_017011"
"24414","NP_001107802"
"24414","NP_058707"
"24415","NM_001105711"
"24415","NP_001099181"
"24416","NM_001105712"
"24416","NP_001099182"
"24417","NM_022666"
"24417","NP_073157"
"24418","NM_017012"
"24418","NP_058708"
"24419","NM_022920"
"24419","NP_075209"
"24420","NM_001003978"
"24420","NP_001003978"
"24421","NM_031509"
"24421","NP_113697"
"24421","XM_003754497"
"24421","XP_003754545"
"24422","NM_017013"
"24422","NP_058709"
"24422","XM_003750543"
"24422","XP_003750591"
"24423","NM_017014"
"24423","NP_058710"
"24424","NM_177426"
"24424","NP_803175"
"24426","NM_012577"
"24426","NP_036709"
"24434","NM_017015"
"24434","NP_058711"
"24437","NM_012578"
"24437","NP_036710"
"24438","NM_012579"
"24438","NP_036711"
"24439","NM_033349"
"24439","NP_203500"
"24440","NM_033234"
"24440","NP_150237"
"24443","NM_017016"
"24443","NP_058712"
"24446","NM_017017"
"24446","NP_058713"
"24448","NM_017018"
"24448","NP_058714"
"24450","NM_173094"
"24450","NP_775117"
"24451","NM_012580"
"24451","NP_036712"
"24452","NM_012581"
"24452","NP_036713"
"24457","NM_001191649"
"24457","NP_001178578"
"24459","NM_001109884"
"24459","NP_001103354"
"24460","NM_001177326"
"24460","NP_001170797"
"24464","NM_012582"
"24464","NP_036714"
"24465","NM_012583"
"24465","NP_036715"
"24465","XM_003752155"
"24465","XP_003752203"
"24468","NM_024351"
"24468","NP_077327"
"24470","NM_012584"
"24470","NP_036716"
"24471","NM_031970"
"24471","NP_114176"
"24472","NM_031971"
"24472","NP_114177"
"24473","NM_012585"
"24473","NP_036717"
"24476","NM_012586"
"24476","NP_036718"
"24477","NM_012587"
"24477","NP_036719"
"24479","NM_031510"
"24479","NP_113698"
"24481","NM_019127"
"24481","NP_062000"
"24482","NM_001082477"
"24482","NM_001082478"
"24482","NM_001082479"
"24482","NM_178866"
"24482","NP_001075946"
"24482","NP_001075947"
"24482","NP_001075948"
"24482","NP_849197"
"24483","NM_001190162"
"24483","NM_001190163"
"24483","NM_031511"
"24483","NP_001177091"
"24483","NP_001177092"
"24483","NP_113699"
"24484","NM_012588"
"24484","NP_036720"
"24493","NM_017019"
"24493","NP_058715"
"24494","NM_031512"
"24494","NP_113700"
"24495","NM_031513"
"24495","NP_113701"
"24497","NM_021834"
"24497","NP_068606"
"24498","NM_012589"
"24498","NP_036721"
"24499","NM_017020"
"24499","NP_058716"
"24500","NM_017021"
"24500","NP_058717"
"24503","NM_019128"
"24503","NP_062001"
"24504","NM_012590"
"24504","NP_036722"
"24505","NM_019129"
"24505","NP_062002"
"24506","NM_019130"
"24506","NP_062003"
"24508","NM_012591"
"24508","NP_036723"
"24511","NM_017022"
"24511","NP_058718"
"24513","NM_012592"
"24513","NP_036724"
"24514","NM_031514"
"24514","NP_113702"
"24516","NM_021835"
"24516","NP_068607"
"24517","NM_021836"
"24517","NP_068608"
"24518","NM_138875"
"24518","NP_620230"
"24520","NM_173095"
"24520","NP_775118"
"24521","NM_017023"
"24521","NP_058719"
"24522","NM_052798"
"24522","NP_434685"
"24523","NM_012593"
"24523","NP_036725"
"24525","NM_031515"
"24525","NP_113703"
"24528","NM_012594"
"24528","NP_036726"
"24530","NM_017024"
"24530","NP_058720"
"24533","NM_017025"
"24533","NP_058721"
"24534","NM_012595"
"24534","NP_036727"
"24536","NM_012596"
"24536","NP_036728"
"24538","NM_012597"
"24538","NP_036729"
"24539","NM_012598"
"24539","NP_036730"
"24546","NM_022667"
"24546","NP_073158"
"24547","NM_001025289"
"24547","NM_001025291"
"24547","NM_001025292"
"24547","NM_001025293"
"24547","NM_001025294"
"24547","NM_017026"
"24547","NP_001020460"
"24547","NP_001020462"
"24547","NP_001020463"
"24547","NP_001020464"
"24547","NP_001020465"
"24547","NP_058722"
"24548","NM_012599"
"24548","NP_036731"
"24551","NM_033235"
"24551","NP_150238"
"24552","NM_012600"
"24552","NP_036732"
"24553","NM_031517"
"24553","NP_113705"
"24558","NM_022668"
"24558","NP_073159"
"24559","NM_020102"
"24559","NP_064487"
"24560","NM_031518"
"24560","NP_113706"
"24561","NM_012601"
"24561","NP_036733"
"24564","NM_017027"
"24564","NP_058723"
"24565","NM_022281"
"24565","NP_071617"
"24566","NM_024352"
"24566","NP_077328"
"24567","NM_138826"
"24567","NP_620181"
"24571","NM_012602"
"24571","NP_036734"
"24572","XM_002725730"
"24572","XM_003749023"
"24572","XP_002725776"
"24572","XP_003749071"
"24575","NM_001271058"
"24575","NM_001271059"
"24575","NM_001271060"
"24575","NM_001271061"
"24575","NM_001271062"
"24575","NM_173096"
"24575","NP_001257987"
"24575","NP_001257988"
"24575","NP_001257989"
"24575","NP_001257990"
"24575","NP_001257991"
"24575","NP_775119"
"24577","NM_012603"
"24577","NP_036735"
"24581","NM_021837"
"24581","NP_068609"
"24582","NM_001170600"
"24582","NP_001164071"
"24583","NM_012604"
"24583","NP_036736"
"24584","NM_012605"
"24584","NP_036737"
"24585","NM_012606"
"24585","NP_036738"
"24586","NM_031521"
"24586","NP_113709"
"24587","NM_012607"
"24587","NP_036739"
"24588","NM_017029"
"24588","NP_058725"
"24590","NM_012608"
"24590","NP_036740"
"24591","NM_031522"
"24591","NP_113710"
"24592","NM_012609"
"24592","NP_036741"
"24594","NM_031523"
"24594","NP_113711"
"24596","NM_012610"
"24596","NP_036742"
"24598","NM_052799"
"24598","NP_434686"
"24599","NM_012611"
"24599","NP_036743"
"24600","NM_021838"
"24600","NP_068610"
"24602","NM_012612"
"24602","NP_036744"
"24603","NM_012613"
"24603","NP_036745"
"24604","NM_012614"
"24604","NP_036746"
"24605","NM_080766"
"24605","NP_542944"
"24609","NM_012615"
"24609","NP_036747"
"24610","NM_024126"
"24610","NP_077040"
"24611","NM_001191836"
"24611","NP_001178765"
"24611","XM_001060758"
"24611","XP_001060758"
"24612","NM_012616"
"24612","NP_036748"
"24613","NM_012617"
"24613","NP_036749"
"24614","NM_053288"
"24614","NP_445740"
