"","abundance_assay1","abundance_assay2","abundance_assay3","abundance_assay4","abundance_assay5","abundance_assay6","abundance_assay7","abundance_assay8","abundance_assay9","abundance_assay10","abundance_assay11","abundance_assay12","abundance_assay13","abundance_assay14","abundance_assay15"
"Label","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 1","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 2","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3","mouse liver 3"
"PE 20:1/20:4_211","983569.7473763755","826227.8108117158","813811.285625947","604324.3023789483","711887.6038858464","2584080.508518119","2338559.0172335333","2088298.1796779553","1859963.5348166302","1805708.7280299896","3246439.3764674487","3206657.6895755176","2850326.4178571864","2419133.1350453077","2501826.172661794"
"PE 18:1/22:4_212",NA,"182542.80925986377","56447.05338924856","136391.7665154263","35620.90890791904","134609.0541816598","109527.81142654836","134215.31287569265","84036.23026431155",NA,"162070.91147106342",NA,NA,"98021.2088382139","132244.7569408425"
"PE 40:5_213",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"48313.0390625"
"PE 18:0_22:6_214","9.52023245E7","8.53698775E7","7.9950016E7","7.6041057E7","7.28476955E7","1.4973768646086377E8","1.366084829100802E8","1.277858145E8","1.17880818762626E8","1.1163261680369881E8","8.749471564045113E7","8.354724956616561E7","8.10608463021529E7","7.595651704939108E7","7.303098340975733E7"
"PE 18:1/22:5_215",NA,NA,NA,NA,NA,"2417637.539136219","1673715.5899198155",NA,"1476803.2373739947","2222776.196301185","6651925.859548865","5628999.93383439","5843758.197847101","5690658.4506089175","5288300.590242671"
"PE 18:1/22:6_216","6.3301527177734375E7","5.65003894453125E7","5.214331355078125E7","4.894925616796875E7","4.676777433984375E7","1.017117935E8","9.407292401953125E7","8.582443094140625E7","7.967605725E7","7.435157075E7","8.811675325E7","8.50064685E7","8.205483175E7","7.63905371328125E7","7.203264576171875E7"
"PE 40:7_217",NA,NA,NA,"211773.52734375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:1_22:6_218",NA,NA,NA,NA,NA,NA,NA,"493788.0570026683",NA,NA,NA,NA,NA,NA,NA
"PE 20:3_20:4_219",NA,NA,NA,NA,NA,NA,NA,"18595.708622331633",NA,NA,NA,NA,NA,NA,NA
"PE 18:2_22:6_220","2718032.940755306","2377539.6945752325","2017722.06212418","2003935.106538885","1841019.183590442","3666203.9917665464","3180310.898682073","2861098.4928028975","2369468.750715446","2246627.813050332","2551010.4552940717","2490931.766784986","2303671.393331474","2136383.919377734","2009627.6983191997"
"PE 20:4/20:4_221","626308.2825104746","420425.48511226743","393183.1166431073","328638.9168986149","284503.316409558","724156.0082334536","670317.3044429265","487253.5384471025","511590.9602220541","406371.01507466816","784395.1732513721","592432.8957721684","612680.7394729067","580913.9634347659","541761.9266808004"
"PE 12:4_28:4_222",NA,NA,"32633.344670212977",NA,NA,NA,NA,NA,NA,NA,"32615.355829556072","29332.649942845645",NA,NA,NA
"PE 12:5_28:3_223","40084.08923421928",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 18:3_22:5_224",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"23852.75782061947",NA,NA
"PE 40:9_225",NA,"98334.5302734375","95532.58203125","113066.10546875","105148.1328125","162913.36328125","105682.666015625","124489.7421875","101296.318359375","81699.84765625","103541.130859375","59247.5458984375","88230.486328125","63494.94921875","77349.458984375"
"PE 18:3_22:6_226","158286.921875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 41:6_227",NA,NA,"297369.79296875","1957461.9375",NA,NA,"2074871.515625",NA,NA,"1692028.59375","811070.79296875",NA,NA,"2881843.212890625","3705853.859375"
"PE 41:6_228",NA,"205380.333984375",NA,"182262.2255859375","184234.0068359375",NA,NA,"377434.912109375",NA,"309615.7529296875",NA,"466123.3095703125","450258.9853515625","444372.0185546875","287757.0693359375"
"PE 19:0/22:6_229",NA,NA,NA,NA,NA,"519137.240234375","420847.9794921875",NA,NA,NA,"483001.6630859375",NA,NA,NA,NA
"PE 41:7_230","983960.984375",NA,"855846.859375",NA,NA,NA,"1557492.9296875",NA,NA,"1299392.38671875","1763035.84375",NA,NA,"1386583.40625","1754746.90625"
"PE 41:7_231",NA,NA,NA,"51422.6982421875",NA,NA,"96381.83984375",NA,"74685.015625","61750.53515625","114108.306640625","76902.4423828125","83533.4365234375","70462.423828125","52638.533203125"
"PE 42:4_232","66801.662109375",NA,"38264.796875",NA,NA,"108377.84375","121481.69921875","86973.9677734375","61801.111328125","66297.9052734375",NA,"83790.40625","67552.462890625","53323.7958984375","46334.69140625"
"PE 42:5_233","143803.609375","90578.93408203125","37073.22509765625","115707.3330078125","38693.26953125","254765.798828125","192444.921875","154022.1875","160201.4169921875","82495.6328125","87600.556640625","147633.453125","136379.95703125","118806.955078125","103116.939453125"
"PE 42:6_234","33561.42333984375",NA,NA,NA,NA,"195613.853515625","138428.919921875","144375.421875","64460.01171875","148267.3828125","154534.333984375","189080.921875","152779.2109375","179288.037109375","77648.244140625"
"PE 42:7_235","440656.533203125","319801.654296875","289553.716796875","308553.541015625","271457.49609375","709082.68359375","667946.923828125","600106.501953125","551305.181640625","505336.4462890625","832533.5703125","821629.787109375","867153.171875","729181.6015625","709982.43359375"
"PE 42:8_236","447565.6015625","391618.0859375","330870.5","301894.2421875","327628.8984375","765403.4375","692332.5625","648824.625","556037.625","545992.625","568253.265625","545843.296875","502955.625","487489.140625","465344.46875"
"PE 42:9_237","151746.37890625","132970.125","85506.18359375","71571.9296875","83962.8046875","130728.0234375","151224.95703125","149890.7734375","95221.6015625","91274.951171875","82702.796875","96042.3125","98084.73828125","84037.9716796875","84205.328125"
"PE 42:10_238","218647.5390625","182044.2578125","154851.20703125","204913.0546875","140208.1015625",NA,"235771.9453125","223072.6015625","203812.578125","186932.4765625","212629.9453125","212185.7265625","200631.80078125","178722.75390625","158308.31640625"
"PE 20:4_22:6_239",NA,NA,NA,NA,NA,"200478.8203125",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 43:6_240","46800.74072265625",NA,NA,NA,NA,"99255.6552734375","128782.552734375","127487.74609375",NA,"88357.693359375",NA,NA,NA,NA,NA
"PE 43:7_241",NA,"693517.640625",NA,NA,NA,NA,NA,"919047.78125","648995.671875","1017043.3125","578917.734375",NA,"829876.59375","601419.3125","455333.453125"
"PE 43:9_242",NA,NA,"443391.953125",NA,NA,NA,"5755602.25",NA,"874281.46875","726551.625",NA,NA,NA,NA,NA
"PE 43:10_243",NA,NA,NA,NA,NA,NA,"104490.0546875",NA,NA,NA,NA,NA,NA,NA,NA
"PE 44:12_244",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"945359.6484375"
"PE 44:12_245",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"69765.947265625","52797.208984375","61933.53125","62470.92578125",NA
"PE 45:8_246",NA,"189700.37109375",NA,NA,NA,NA,NA,NA,"233088.203125","59138.359375",NA,NA,NA,NA,NA
"PE 45:9_247","2566467.5625","681876.09375","586390.40625","488697.515625","2494682.5",NA,"5005896.25","1.31793295E7","3881948.125","2405000.34375","1.336484275E7","3872597.75",NA,NA,NA
"PE 45:10_248",NA,"117892.396484375",NA,NA,NA,NA,"312414.908203125",NA,NA,NA,"1903909.515625","353808.0703125","2464768.015625",NA,NA
"PE 45:11_249",NA,NA,"560213.0","413589.40625","482230.25","2396553.96875","923266.5","1097300.125",NA,NA,NA,"762382.96875","810828.5","700757.0",NA
"PE 47:9_250",NA,NA,NA,NA,NA,"128912.00390625",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PE 47:11_251","195019.53515625","284336.71875","756248.84375","903758.28125","131355.62109375",NA,"405287.109375","459610.6015625","1281603.28125","824854.0","1036010.3125","6737971.75",NA,"845408.546875","1.421333775E7"
"PE 47:12_252","131419.623046875",NA,NA,NA,NA,"81482.705078125",NA,"947571.3125","160301.23828125",NA,NA,NA,"150048.322265625","173804.0625","191680.125"
"PE 48:12_253","91812.619140625",NA,NA,"58966.13586425781",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 30:0_254","387369.47900390625","283564.78515625","249780.68603515625",NA,"245861.7490234375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 14:0_16:0_255",NA,NA,NA,"111948.02442455331",NA,"1138681.16796875","1028922.1875","911247.578125","814045.287109375","638611.283024163","1171610.5983905683","1297252.42578125","1061978.882612522","905663.6058562894","995142.34765625"
"PC 15:0/15:0_256",NA,NA,NA,"146448.6220598217",NA,NA,NA,NA,NA,"74909.67791333706","226416.85082818178",NA,"129531.29316872785","219551.9214874607",NA
"PC 30:1_257",NA,NA,NA,NA,NA,NA,"65603.193359375",NA,NA,NA,"118483.95703125","63160.6494140625",NA,NA,NA
"PC 31:0_258",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"314203.0078125","289608.2421875","268110.2265625",NA,"203673.65625"
"PC 31:0_259","132593.4140625","613363.375","354757.96875","691784.40625","278358.8046875","161418.203125","482987.890625","288400.5703125",NA,"584002.171875","461810.40625",NA,"810632.5625","867354.71875",NA
"PC 31:1_260",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"53074.109375","66263.1328125","42483.30419921875","52870.6708984375"
"PC 31:1_261","335376.2265625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 16:0/16:0_262","3.543509267089844E7","3.095751562890625E7","2.89961538671875E7","2.7950429799316406E7","2.5917306405273438E7","6.22711410859375E7","5.710838386328125E7","5.153308487792969E7","4.625426443798828E7","4.2394039431152344E7","6.93521108671875E7","6.5167224900390625E7","6.347565858691406E7","5.8532155091796875E7","5.589130828930664E7"
"PC 16:0/16:1_263","6606389.96875","4830640.833161884","5220709.9375","4937139.21875","4049793.0149261","2.3966637337890625E7","2.2190569544921875E7","1.9320950217529297E7","1.71743380625E7","1.5662843323242188E7","3.052262454941896E7","2.8931998022378847E7","3.0879598670410156E7","2.5649061703536194E7","2.6742301625E7"
"PC 14:0/18:1_264",NA,"848605.7449631155",NA,NA,"588086.4850739002",NA,NA,NA,NA,NA,"3833694.502338852","3711506.883871154",NA,"2735842.183182557",NA
"PC 14:0/18:2_265","977808.0959214967","795530.8983618282","815569.390625","678071.9852494696","707700.8662109375","1983870.24697483","1676418.295066393","1313727.9816977202","1607351.2450214424","1349192.337587682","3043372.614072727","2564677.921848155","3074608.757589449","2293730.341366479","2624033.1955063744"
"PC 16:1/16:1_266","118475.03689100336","142777.8242944218",NA,"138654.12412553036",NA,"768136.7999001698","285558.4982221794","803931.5808022796","281876.3956035577","235613.06866231817","1289819.7140522732","1072627.2713955308","789876.9611605508","1181241.033633521","514904.8669936254"
"PC 16:0_16:2_267",NA,NA,NA,NA,NA,NA,"480158.40202392754",NA,NA,NA,NA,"285719.11925631436",NA,NA,NA
"PC 32:4_268",NA,NA,NA,NA,NA,NA,NA,NA,NA,"73699.7978515625",NA,NA,NA,NA,NA
"PC 33:0_269","311622.546875","272973.1640625","270074.4765625","256478.3828125","190021.83984375","423426.9453125","393199.0859375","310263.9609375","337180.46875","298431.953125","574948.0625","654007.640625","627569.578125","533902.796875","485549.953125"
"PC 33:1_270","1027098.234375","918748.734375","835685.04296875","808841.8203125","712793.232421875","1711035.9609375","1454287.5625","1406287.90625","1307554.015625","1144230.5390625","2652343.0","2407471.703125","2259964.4921875","2332976.40625","2111858.03125"
"PC 33:1_271","414330.90625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 15:0/18:2_272","1937230.0078125","1531578.234375","1442893.453125","1307958.2109375","1217006.48046875","1350832.1795375606","1506951.828125","1190437.5840606738","1020918.2171779821","867906.3244693639","2269217.21875","1748576.3785182443","1837214.2440297226","1105089.5651018566","1639119.776312622"
"PC 16:1_17:1_273",NA,NA,NA,NA,NA,"291436.54598301166",NA,"241730.1659393262",NA,NA,NA,"411500.3871067559","304895.9356577775","405254.0856579245","199235.60649987793"
"PC 16:0_17:2_274",NA,NA,NA,NA,NA,"145621.2588544278",NA,NA,"105508.10704076794","163053.4294368861",NA,NA,NA,"130326.01433456772",NA
"PC 15:1_18:1_275",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"279635.96771815117",NA
"PC 33:2_276","418892.10546875","250279.4375","140185.07421875",NA,NA,NA,"83743.759765625",NA,NA,"277209.9375",NA,NA,NA,NA,NA
"PC 33:3_277","53731.7197265625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 33:3_278","77192.068359375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 18:0/16:0_279","4610407.887438486","4065813.0625","3673532.484375","3450497.1015625","3072758.140625","9466162.15625","7906037.9375","6411818.53125","5904306.1875","5666600.90625","1.0316330625E7","1.002609484375E7","9284553.71875","8611233.0625","7930906.34375"
"PC 15:0_19:0_280","535615.9094365133",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 16:0/18:1_281","1.7510127173828125E8","1.5254101284375E8","1.4285845175390625E8","1.3566672570703125E8","1.291448592734375E8","3.21389744203125E8","2.9548756766015625E8","2.70049092E8","2.4229940419140625E8","2.2611146391015625E8","3.907668860703125E8","3.722753423125E8","3.61385658296875E8","3.3828926873828125E8","3.2116628617578125E8"
"PC 16:0/18:2_282","3.515400372421875E8","3.2701077389453125E8","3.047700309140625E8","2.9761608984375E8","2.8485817494140625E8","5.8380460253125E8","5.45827033984375E8","5.0899180003125E8","4.62657455421875E8","4.369626832890625E8","5.632720055390625E8","5.335758761953125E8","5.239759355390625E8","4.90203600890625E8","4.7105756728125E8"
"PC 16:0_18:2_283","862090.109375",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 16:1/18:2_284","1.0922630860971808E7","8093822.467002618","6799066.4767278535","7259865.927953204","6461747.641169472","2.834097160397194E7","2.38518926602246E7","2.1268840064896546E7","1.926303399878144E7","1.6567729744060231E7","3.0908158971738603E7","2.7401200201497637E7","2.822865687634983E7","2.5470185204587817E7","2.3327529368717726E7"
"PC 16:0/18:3_285","6079913.607778191","6833643.032997381","6714777.617022146","5678469.150171797","5277574.976018028","1.6637959333039777E7","1.6035409138603523E7","1.3424264185103456E7","1.1651112178952932E7","1.0957236068439767E7","1.8821785403261397E7","1.871761999186174E7","1.6863721772087667E7","1.599025967041218E7","1.6164562537532276E7"
"PC 34:4_286","368404.6513671875",NA,NA,NA,"259089.70751953125",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 14:0/20:4_287",NA,"260782.20556640625","216795.85546875","270182.1184082031",NA,NA,"706431.0401978411","364401.2407093661","597283.1508789062","482279.6083984375","930554.1751959451","1253083.44921875","879327.0003593769","671824.9543688553","971607.111328125"
"PC 16:1_18:3_288",NA,NA,NA,NA,NA,"740898.8546686849","116400.90706778393","136060.691465742",NA,NA,"224404.0600278373",NA,"307266.1068373357","331405.6784436446",NA
"PC 16:0/18:4_289",NA,NA,NA,NA,NA,NA,NA,"233798.7787623918",NA,NA,"244598.76868246755",NA,"113760.4123345375",NA,NA
"PC 16:2_18:2_290",NA,NA,NA,NA,NA,"148834.69074147134",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 35:0_291",NA,NA,NA,"40517.0859375",NA,NA,NA,NA,NA,"55361.9814453125","109700.873046875","135819.8125","79865.4931640625","65306.3984375","75417.8486328125"
"PC 17:0/18:1_292","987227.4103212124","844559.3829591305","740334.0024838912","752051.9351209033","867699.8966625454","1106502.338565836","1180819.8819589224","1015037.5809710762","732145.4454796407","788284.3818267892","2105089.498491127","2512880.6055638744","1755910.7848829604","1739475.6525670711","1380584.2619784342"
"PC 17:1_18:0_293","324526.1943842158","374704.21079086966","380961.29385344964","252345.72894159675",NA,"912683.7824424723","439574.70807721483","503193.1011848824","429264.7937300111","375215.10772073414","732656.6419213794","567660.191311126","732274.9667631468","449517.84141940094","558928.6516647515"
"PC 16:0_19:1_294","162646.3562320718",NA,"168921.328662659",NA,"206250.29474370464","252498.95711669163","339632.47246386274","269663.6928440414","376490.0029778481","229193.1198274767","418565.0470874936",NA,"465608.4046038928","529549.5763260279","638453.3754193141"
"PC 17:0/18:2_295","8427138.268939184","7953491.34375","6328193.179725472","6914677.25","6667505.34375","1.1499638069400005E7","1.0341168218496596E7","9021570.787527448","8173519.87999388","7531603.025728828","1.2433062857135791E7","1.1547310489911115E7","1.112506978317216E7","1.0200127285959916E7","9780925.238463636"
"PC 17:1_18:1_296","874779.4498108169",NA,"897332.4452745282",NA,NA,"1664844.805599995","1448648.0940034043","1447379.0874725534","1340368.4325061198","1080437.7555211715","2407679.7678642087","2075241.5725888847","2362677.5293278415","1941073.6910908641","1832031.292786362"
"PC 17:1/18:2_297","874668.8466348518","801380.1875","781226.5625","695901.203125","676153.265625","1539099.59375","1317784.0625","1137543.328125","1009638.84375","974896.0625","1973461.5986328125","1758811.40625","1708679.96875","1310737.435184553","1034236.3300532941"
"PC 17:2_18:1_298",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"207233.72106544688","264080.67779456096"
"PC 16:1_19:2_299",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"156203.1244763637"
"PC 15:0_20:3_300","93786.76274014822",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 35:4_301",NA,NA,"27124.280029296875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 35:4_302",NA,NA,NA,NA,"545393.46875",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 15:0/20:4_303","793155.265625","578428.4714034622","588200.328125","546630.75",NA,"928620.03125","858627.9375","705690.296875","592898.734375","491166.85856074566","1295229.0","1249905.90625","1101941.34375","1053612.4375","787353.0397095864"
"PC 17:4_18:0_304",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"169589.14779041355"
"PC 16:0_19:4_305",NA,"61310.10672153765",NA,NA,NA,NA,NA,NA,NA,"62852.360189254316",NA,NA,NA,NA,NA
"PC 35:5_306",NA,"46672.83740234375",NA,NA,NA,NA,"179046.626953125","160238.513671875",NA,NA,NA,NA,"109701.224609375","99321.53125","59979.0693359375"
"PC 35:5_307",NA,NA,NA,NA,NA,NA,NA,NA,NA,"303438.1875",NA,NA,"149985.259765625",NA,NA
"PC 36:0_308",NA,NA,"359807.078125","272203.53125","261279.546875","667146.0625","593544.234375","512559.40625","430519.2421875","322599.5546875",NA,"410509.359375",NA,"482699.65625","488054.8515625"
"PC 18:0/18:0_309","260579.14453125","298281.4453125",NA,NA,NA,NA,NA,NA,NA,NA,"711176.5",NA,"654655.859375",NA,NA
"PC 18:0/18:1_310","2.981919875E7","2.5340487625E7","2.3835555625E7","2.1995655625E7","2.06667521875E7","8.32153945E7","7.437055845214844E7","6.51045275E7","5.969204134863281E7","5.415156551660156E7","7.008813874023438E7","6.678166463671875E7","6.4195821E7","5.875064361425781E7","5.525129425E7"
"PC 18:0/18:2_311","2.8244618477734375E8","2.536248246328125E8","2.42085381296875E8","2.3187257908203125E8","2.2175781054101562E8","5.0776863528125E8","4.74198730171875E8","4.36777829515625E8","4.13031009984375E8","3.8796063103125E8","4.0316649432978374E8","3.79098407011781E8","3.7203266692544293E8","3.474941793226109E8","3.7119322270703125E8"
"PC 18:1/18:1_312",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"4.2132968420216285E7","4.258255596673462E7","4.0648672047213376E7","4.229007048988907E7",NA
"PC 18:0/18:2_313","568388.8677716696","557807.7138357196",NA,NA,"489174.8525420182",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 18:1/18:1_314","170578.88222833036","198352.41116428043",NA,NA,"134170.60058298177",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 18:1/18:2_315","7.849319676704626E7","6.80926194908787E7","6.0609356821778946E7","5.8370147537304856E7","5.074096137218793E7","1.621614159390841E8","1.4141300129282272E8","1.2909007744022907E8","1.2155396419023566E8","1.1096223411989065E8","2.0111599592284837E8","1.8533305065070954E8","1.9520214915162414E8","1.8022909654597104E8","1.6763113982409966E8"
"PC 16:0/20:3_316","4.276500089701625E7","4.0248057673183806E7","3.384790152741643E7","3.1982247652428277E7","3.240269849185543E7","8.23582970296659E7","8.378766619350539E7","7.704307156758341E7","6.061869205976435E7","5.7009629731671855E7","1.0348985580371413E8","1.0064947361491545E8","9.071158812181337E7","8.961697999309146E7","8.727971911340034E7"
"PC 18:0/18:3_317",NA,NA,"6208563.088304614","5885413.168665302","6347087.383026959",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 16:0_20:3_318",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1188244.5",NA,NA,NA
"PC 18:2/18:2_319","2.291707552937339E7","1.9707660628010664E7","2.0647537875E7","1.7402802946404338E7","1.6136849902975556E7","3.791013940249395E7","3.298657559059567E7","2.9496126946845356E7","2.898041575E7","2.3392337239144612E7","4.0168204683371715E7","3.760624352378346E7","4.193335075E7","3.4001301311012946E7","3.2324191467439495E7"
"PC 18:1_18:3_320","2796352.3456266136","2625963.871989334",NA,"1826247.4285956617","2187793.034524445","4388602.097506045","4086098.40940433","3430579.4281546413",NA,"2970500.260855389","7399664.316628286","5891542.226216538",NA,"4556473.063987061","3892015.532560505"
"PC 16:0/20:4_321","3.1899022513671875E8","2.90151812E8","2.72819988E8","2.62297494E8","2.49667696E8","5.2257769140625E8","4.788204996328125E8","4.33064358E8","4.124461618125E8","3.74656552E8","5.391191145390625E8","5.12082372E8","4.97413752E8","4.70910352E8","4.56113452921875E8"
"PC 18:3/18:2_322","2696035.625","2360796.328125","2031881.296875","1959257.46875","1704063.40234375","2950070.265625","2348854.0","2176483.453125","1883982.7265625","1583454.73828125","2070606.1953125","2023620.2265625","1847909.9453125","1631290.4453125","1544366.265625"
"PC 16:1/20:4_323","3240453.6737592258","2895463.6474303626","2388074.7197092683","2006120.8865169242","1851038.20672211","1.340782421829815E7","1.1520101379053842E7","8987975.838293826","9073559.596876841","7740390.331652132","1.7275679120424114E7","1.5043583710520573E7","1.4908695112115223E7","1.3203718814571232E7","1.2472995420666916E7"
"PC 16:0/20:5_324","5359908.076240774","4245432.227569638","4104631.1552907317","3003371.189612946","3795890.9182778895","1.3901540781701848E7","1.2888243620946158E7","1.1465589661706174E7","8652015.40312316","8445226.668347869","1.1697272879575886E7","1.0197827789479427E7","1.0595154387884777E7","9220805.185428768","8510356.079333082"
"PC 18:0_18:5_325",NA,NA,NA,"944391.5488701306",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 36:6_326",NA,NA,"191348.421875","143324.21875",NA,NA,NA,NA,NA,NA,NA,NA,"595188.583984375",NA,"448618.765625"
"PC 14:0/22:6_327",NA,NA,NA,NA,NA,"556330.65625",NA,"534261.5546875","218726.10790809387","213185.0252610262","684784.25","425060.8912317475",NA,"531494.15625",NA
"PC 16:1_20:5_328",NA,NA,NA,NA,NA,NA,"494494.21875",NA,NA,NA,NA,NA,NA,NA,NA
"PC 16:0_20:6_329","227956.0859375",NA,NA,NA,NA,NA,NA,NA,"92293.68896690613",NA,NA,NA,NA,NA,NA
"PC 18:3/18:3_330",NA,"219922.18359375",NA,NA,NA,NA,NA,NA,NA,"98554.70911397379",NA,NA,NA,NA,NA
"PC 16:2_20:4_331",NA,NA,NA,NA,"161678.37890625",NA,NA,NA,NA,NA,NA,"137930.49939325248",NA,NA,NA
"PC 16:3_20:4_332",NA,NA,NA,"3345.717107112432",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 37:1_333","89737.8642578125","98125.75390625","93960.328125","91772.91796875","63713.9892578125",NA,NA,NA,"249517.1015625","194552.8671875",NA,NA,"379100.359375",NA,NA
"PC 18:1_19:0_334",NA,NA,NA,NA,NA,"194183.48014153482","294795.2578125",NA,NA,NA,"351364.23249196395","402717.8828125",NA,"346787.4200993869","321953.15625"
"PC 18:0_19:1_335",NA,NA,NA,NA,NA,"176595.62923346518",NA,"291412.8125",NA,NA,"72052.29875803606",NA,NA,"41850.5799006131",NA
"PC 19:0/18:2_336","2159930.046875","1499345.0423895216","1696833.35546875","1684259.4453125","1425814.9921875","3664215.4330829456","3423891.028234218","3214189.4375","2491476.7138804803","2056198.3362867914","4907517.5757355355","4470105.393086794","3850899.3077433193","4280366.40792825","3554198.052063401"
"PC 18:1_19:1_337",NA,"413075.4888604784",NA,NA,NA,"513371.25441705424",NA,NA,NA,"206583.01503091044","623315.9086394646","708383.5131632067","686958.3986379137","434204.0608217503","703376.5729365993"
"PC 18:0_19:2_338",NA,NA,NA,NA,NA,NA,"470786.5967657824",NA,"410006.9736195195",NA,NA,NA,NA,NA,NA
"PC 17:0_20:2_339",NA,NA,NA,NA,NA,NA,NA,NA,NA,"226313.07055729834",NA,NA,"460431.6686187668",NA,NA
"PC 17:0/20:3_340","823834.4849652239","840979.609375","825896.921875","779486.453125","720765.03125","814744.6847795218","899593.893127824","1106102.7348749544","891416.4856107606","677524.2710389964","990275.7571297728","1603348.0100660534","1275451.9643006588","1071298.5274905479","1195654.7130881182"
"PC 18:2_19:1_341","111324.56190977604",NA,NA,NA,NA,"505623.1913532267","791278.544372176","393038.20262504526","416666.60813923937","468086.0102110036","1992860.2624014772","803577.4821214466","1186996.5981993412","1145156.0350094521","1116153.4119118818"
"PC 18:0_19:3_342",NA,NA,NA,NA,NA,"337477.1636698072",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 18:1_19:2_343",NA,NA,NA,NA,NA,"167521.30394744428",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 37:4_344",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"60505.89013671875",NA,NA,NA
"PC 17:0/20:4_345","1.265217675E7","1.09582381875E7","1.0018211125E7","9585730.9375","9053513.03125","1.63667014375E7","1.5166269375E7","1.3321705375E7","1.2362664125E7","1.0542112E7","1.846432775E7","1.5613724875E7","1.610230425E7","1.39804843125E7","1.3306141625E7"
"PC 17:1/20:4_346","545714.765625","501189.953125","352866.65327343583","445924.0859375","412940.8828125","837574.8125","795780.15625","749737.953125","666882.0","553794.234375","1325049.875","1069766.0295622207","1165915.84375","1094369.5","1002626.875"
"PC 17:0_20:5_347",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149155.56418777927",NA,NA,NA
"PC 18:1_19:4_348",NA,NA,"96161.62016406415",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 37:6_349",NA,NA,NA,"475789.5625","474271.265625",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PC 15:0/22:6_350","664848.515625","570394.65625","534753.078125",NA,NA,"603199.34375","541135.78125","179096.29442626948","305964.1244798978","363494.9453125","666428.671875","656854.453125","665868.078125",NA,NA
"PC 19:6/18:0_351",NA,NA,NA,NA,NA,NA,NA,"317888.8618237305","78102.68802010224",NA,NA,NA,NA,"546749.75","541036.0"
"PC 38:1_352",NA,"214060.90625",NA,"162500.0234375",NA,NA,NA,NA,NA,NA,NA,NA,NA,"479452.21875",NA
"PC 18:0_20:1_353","269227.078125",NA,"194820.91015625",NA,"161126.3203125","798557.375","619331.796875","560973.453125","495711.71875","402908.78125","644016.796875","303790.58848027675","537416.734375",NA,"459711.328125"
