name,id
C00018,125714
C05191,124120
C00439,126855
C00527,126661
C01528,126826
C00524,126588
C02656,126764
C00212,125717
C15898,127658
C00827,126863
C03820,125976
C01264,124156
C00433,127202
C05764,126038
C00641,127212
C06365,127705
C03557,126327
C00155,127526
C17542,126648
C00763,126900
C09820,126260
G00054,125905
C07479,126610
C05676,124085
C01089,126662
C16242,127118
C10434,127665
C15802,126565
C15563,127366
G00048,125891
C01079,126401
C05448,126917
C00387,126479
C00411,127326
C05763,126039
C06510,126412
C05194,124118
C00250,125713
C00163,127554
C07480,126434
C00025,127725
C00236,127125
C00376,127288
C06394,126985
G00164,127164
C00356,126508
C03539,126807
C00327,127728
G00143,126694
C03862,125843
C00310,126730
G00132,124157
C00379,126725
C00410,127000
C03871,127382
G00108,125917
C11700,126183
C02061,126946
C07838,125952
C02465,127052
C00666,127567
C00380,126470
C01902,126098
C02139,127071
C00267,127131
C00499,126478
C15789,126559
C16737,126283
C00124,127529
C06730,126577
G00145,126696
C06210,127439
C00147,125718
C00905,127694
C15816,126089
C00166,125703
C05673,126328
C19615,124057
C05501,126131
C01780,126277
C05527,126934
C06712,126244
C00817,126729
C03201,125979
C11062,127508
C03345,126748
C02291,127145
C05977,125978
C01113,127455
G10598,125849
C16317,124078
C00951,127009
C06427,125963
C00311,127245
C05512,126514
C00083,125784
C04525,126548
C01477,127303
C01598,126373
C08613,127633
C01277,126899
C12836,126629
C00249,125785
C06025,125948
C11882,127210
C00227,125696
G00128,125934
C09704,126982
C04287,126288
C00154,125794
C00330,126519
C00885,126416
C00957,126933
C15798,126563
C05502,126130
C06124,126155
C06179,124128
C07208,126198
C07130,124103
C05923,126451
C20144,127400
C17541,125962
C07097,126215
C00584,126011
C11878,126571
C04932,125947
C06099,126164
C11539,127116
C06547,127361
C13309,126423
C05757,126048
C11393,126569
C04807,126455
C04317,126650
C02090,126502
C03492,126394
C00469,126830
C04752,127588
G00025,125877
C00954,127502
C15780,126148
C05443,126105
C05259,126665
C06006,126738
C05954,124145
C01013,127416
C18172,127741
C00082,125741
C06609,126332
C11680,124110
C00004,125765
C17561,126974
C11422,126230
C00322,126660
C04432,126841
C00498,126494
C04823,127037
C15776,126145
C05141,127008
C16330,126713
C19886,127547
C00745,124127
C14776,124155
C00455,127680
C03170,126503
C16356,126438
C05758,126047
C00313,126645
C04352,126395
C03428,126960
C15926,126720
C05300,127007
C05840,126771
C00152,125779
C04637,126887
C07111,126579
G00062,125909
C05552,126762
C08586,126175
G00059,125908
C05604,124061
C00266,124166
C05382,126584
G00126,125933
C00170,125809
C17937,124101
C00096,125697
C03618,127724
C02167,126540
C06172,127539
G13038,127178
C20248,127497
G13073,127154
C00141,127544
C04477,126885
C00558,126545
C00294,126464
G13047,127188
C11895,126181
C02947,127664
C00258,125827
C03648,127348
C02892,124051
C04738,126490
C01921,126082
G00063,125910
C16336,127196
C05212,126651
C00194,125707
C13453,127284
C03114,127370
G13036,127176
G00154,125883
C19764,127428
C04631,126284
C00328,127139
G12336,127490
C01832,126654
C20376,127466
C05378,127269
C07123,126598
G00027,125879
C02110,124060
G00095,125915
C05585,126541
C20776,127586
G00115,125924
C05519,126486
C03715,126716
C03824,126750
G00109,125918
G00113,125922
C04582,126798
C01170,126675
C00606,126340
C05951,126002
C05138,126521
G00117,125926
C05852,127026
C00688,127142
G00112,125921
C06165,124115
C16719,124066
C00355,126524
C14813,126006
C17554,126973
