gene,edge,net
K03017,128539,ko01100
K03023,128539,ko01100
K03027,128539,ko01100
K03013,128539,ko01100
K03014,128539,ko01100
K03000,128539,ko01100
K03053,128539,ko01100
K03055,128539,ko01100
K03005,128539,ko01100
K03012,128539,ko01100
K03045,128539,ko01100
K03026,128539,ko01100
K03022,128539,ko01100
K03002,128539,ko01100
K03057,128539,ko01100
K03052,128539,ko01100
K03025,128539,ko01100
K03054,128539,ko01100
K02999,128539,ko01100
K03051,128539,ko01100
K03015,128539,ko01100
K03016,128539,ko01100
K03059,128539,ko01100
K03060,128538,ko01100
K03010,128538,ko01100
K03042,128538,ko01100
K13797,128538,ko01100
K03021,128538,ko01100
K03027,128538,ko01100
K03041,128538,ko01100
K03006,128538,ko01100
K03019,128538,ko01100
K03050,128538,ko01100
K03046,128538,ko01100
K03001,128538,ko01100
K03018,128538,ko01100
K03051,128538,ko01100
K03048,128538,ko01100
K03020,128538,ko01100
K03059,128538,ko01100
K03009,128538,ko01100
K03056,128538,ko01100
K03003,128538,ko01100
K03043,128538,ko01100
K03011,128538,ko01100
K03058,128538,ko01100
K03057,128538,ko01100
K03049,128538,ko01100
K02999,128538,ko01100
K03012,128538,ko01100
K03047,128538,ko01100
K03052,128538,ko01100
K03055,128538,ko01100
K03053,128538,ko01100
K03013,128538,ko01100
K03040,128538,ko01100
K03014,128538,ko01100
K03022,128538,ko01100
K03005,128538,ko01100
K03054,128538,ko01100
K03007,128538,ko01100
K03008,128538,ko01100
K03004,128538,ko01100
K03025,128538,ko01100
K03017,128538,ko01100
K03024,128538,ko01100
K13798,128538,ko01100
K03015,128538,ko01100
K03000,128538,ko01100
K03023,128538,ko01100
K03002,128538,ko01100
K03016,128538,ko01100
K03045,128538,ko01100
K03044,128538,ko01100
K03026,128538,ko01100
K19064,128117,ko01100
K03918,128117,ko01100
K12526,128108,ko01100
K01586,128108,ko01100
K01582,129264,ko01100
K12972,128022,ko01100
K00049,128022,ko01100
K11517,128022,ko01100
K00104,128022,ko01100
K00015,128022,ko01100
K11472,128022,ko01100
K11473,128022,ko01100
K18121,128022,ko01100
K00018,128022,ko01100
K18151,129401,ko01100
K18151,129400,ko01100
K18123,128124,ko01100
K01638,128015,ko01100
K01637,128016,ko01100
K12525,128056,ko01100
K12526,128056,ko01100
K00928,128056,ko01100
K12524,128056,ko01100
K00278,129024,ko01100
K06989,129024,ko01100
K05597,128051,ko01100
K01424,128051,ko01100
K01953,128051,ko01100
K01914,128051,ko01100
K13035,129817,ko01100
K18309,129730,ko01100
K01437,129730,ko01100
K01580,129286,ko01100
K18966,129286,ko01100
K18933,129286,ko01100
K01579,129286,ko01100
K01744,128050,ko01100
K18592,128545,ko01100
K00681,128545,ko01100
K01920,128544,ko01100
K01920,128543,ko01100
K12447,127961,ko01100
K00965,127961,ko01100
K07967,129568,ko01100
K00704,129568,ko01100
K07966,129568,ko01100
K00955,129578,ko01100
K13811,129578,ko01100
K15422,129578,ko01100
K15759,129578,ko01100
K01082,129578,ko01100
K00860,129578,ko01100
K13800,128516,ko01100
K13809,128516,ko01100
K13799,128516,ko01100
K00945,128516,ko01100
K00876,128517,ko01100
K00125,128458,ko01100
K00125,128457,ko01100
K00123,128458,ko01100
K00123,128457,ko01100
K00127,128458,ko01100
K00127,128457,ko01100
K00124,128458,ko01100
K00124,128457,ko01100
K00126,128458,ko01100
K00126,128457,ko01100
K00122,128458,ko01100
K00122,128457,ko01100
K01569,129368,ko01100
K00957,128459,ko01100
K00956,128459,ko01100
K00955,128459,ko01100
K00959,128459,ko01100
K00958,128459,ko01100
K00860,128459,ko01100
K13811,128459,ko01100
K07732,129014,ko01100
K11753,129014,ko01100
K00861,129014,ko01100
K01476,128136,ko01100
K01476,128137,ko01100
K00491,128138,ko01100
K13242,128138,ko01100
K13241,128138,ko01100
K01478,128138,ko01100
K13253,128138,ko01100
K13427,128138,ko01100
K13240,128138,ko01100
K00613,128139,ko01100
K01585,128242,ko01100
K01584,128242,ko01100
K02626,128242,ko01100
K01583,128242,ko01100
K00940,128515,ko01100
K18533,128515,ko01100
K01937,128514,ko01100
K01955,128506,ko01100
K01954,128506,ko01100
K11540,128506,ko01100
K01956,128506,ko01100
K11541,128506,ko01100
K01079,128055,ko01100
K02203,128055,ko01100
K00828,129293,ko01100
K00830,129293,ko01100
K00640,128093,ko01100
K17066,128455,ko01100
K00093,128455,ko01100
K14029,128455,ko01100
K14028,128455,ko01100
K00429,128455,ko01100
K00148,128456,ko01100
K00303,129294,ko01100
K00301,129294,ko01100
K00314,129294,ko01100
K00306,129294,ko01100
K00302,129294,ko01100
K00304,129294,ko01100
K00305,129294,ko01100
K06928,129738,ko01100
K00946,129738,ko01100
K05307,129739,ko01100
K00949,129739,ko01100
K00949,129746,ko01100
K00225,129306,ko01100
K00103,129657,ko01100
K08969,128079,ko01100
K00838,128079,ko01100
K00832,128079,ko01100
K00815,128079,ko01100
K03334,128079,ko01100
K00544,128078,ko01100
K00548,128078,ko01100
K00549,128078,ko01100
K00547,128078,ko01100
K01689,127920,ko01100
K00790,127981,ko01100
K01841,128555,ko01100
K01519,129389,ko01100
K04765,129389,ko01100
K00819,128131,ko01100
K00620,128238,ko01100
K14677,128238,ko01100
K01438,128238,ko01100
K01581,128240,ko01100
K06001,129518,ko01100
K01696,129518,ko01100
K01695,129518,ko01100
K03334,128220,ko01100
K00838,128220,ko01100
K16903,128220,ko01100
K14265,128220,ko01100
K00453,128211,ko01100
K00463,128211,ko01100
K01593,128223,ko01100
K00832,128169,ko01100
K00812,128169,ko01100
K00813,128169,ko01100
K00815,128169,ko01100
K00817,128169,ko01100
K14454,128169,ko01100
K11358,128169,ko01100
K05821,128169,ko01100
